J_A_per_m,E_V_per_m,Rv_per_s_m2,nf_per_m2,rc_m,lc,K_lc,y_lc
5.5454545454545465e-02,1.1451643479638505e-05,1.3646121333793548e+15,7.1603691523625854e+10,9.9204337063776560e-07,6.8997668267301373e+00,6.1872230471680423e-01,1.4065315291904424e-02
5.6363636363636373e-02,1.2011720696789803e-05,1.4536700920426950e+15,7.3894304317864868e+10,9.7627985469731231e-07,6.8837492816822730e+00,6.1887265754387888e-01,1.4052706783665284e-02
5.7272727272727281e-02,1.2589664331097677e-05,1.5469976897616182e+15,7.6220366137240189e+10,9.6101274206898008e-07,6.8679876680592686e+00,6.1902041724097778e-01,1.4040414397773099e-02
5.8181818181818189e-02,1.3185751474488581e-05,1.6447283609972460e+15,7.8581866667050095e+10,9.4621889649653736e-07,6.8524739339303489e+00,6.1916567060806316e-01,1.4028425999783824e-02
5.9090909090909097e-02,1.3800259177238378e-05,1.7469975727831440e+15,8.0978795982941513e+10,9.3187659911829117e-07,6.8372004015398415e+00,6.1930850020815587e-01,1.4016730096887699e-02
6.0000000000000005e-02,1.4433464450377359e-05,1.8539428249980788e+15,8.3411144535236694e+10,9.1796544148717273e-07,6.8221597444730735e+00,6.1944898463666898e-01,1.4005315794814744e-02
6.0909090909090920e-02,1.5085644267957747e-05,1.9657036506494998e+15,8.5878903133880798e+10,9.0446622814181574e-07,6.8073449665394072e+00,6.1958719876977053e-01,1.3994172758236154e-02
6.1818181818181828e-02,1.5757075569259467e-05,2.0824216161844830e+15,8.8382062934371231e+10,8.9136088774581817e-07,6.7927493822173268e+00,6.1972321399371877e-01,1.3983291174328763e-02
6.2727272727272729e-02,1.6448035260864926e-05,2.2042403218081075e+15,9.0920615424186508e+10,8.7863239193070055e-07,6.7783665985273469e+00,6.1985709841686387e-01,1.3972661719209443e-02
6.3636363636363644e-02,1.7158800218725400e-05,2.3313054018395100e+15,9.3494552410332581e+10,8.6626468107098852e-07,6.7641904982057968e+00,6.1998891706589510e-01,1.3962275526972778e-02
6.4545454545454545e-02,1.7889647290047311e-05,2.4637645250580930e+15,9.6103866006974091e+10,8.5424259631472870e-07,6.7502152240742950e+00,6.2011873206766066e-01,1.3952124161100130e-02
6.5454545454545460e-02,1.8640853295176557e-05,2.6017673950853315e+15,9.8748548624086014e+10,8.4255181725824066e-07,6.7364351644992970e+00,6.2024660281785948e-01,1.3942199588024192e-02
6.6363636363636375e-02,1.9412695029380392e-05,2.7454657507737425e+15,1.0142859295650272e+11,8.3117880472817280e-07,6.7228449398547152e+00,6.2037258613769442e-01,1.3932494152661389e-02
6.7272727272727276e-02,2.0205449264565285e-05,2.8950133666115990e+15,1.0414399197352501e+11,8.2011074818815452e-07,6.7094393899047269e+00,6.2049673641950687e-01,1.3923000555740229e-02
6.8181818181818191e-02,2.1019392750928300e-05,3.0505660531411530e+15,1.0689473890902046e+11,8.0933551733975594e-07,6.6962135620328720e+00,6.2061910576230783e-01,1.3913711832771684e-02
6.9090909090909092e-02,2.1854802218550850e-05,3.2122816573914070e+15,1.0968082725201627e+11,7.9884161753239087e-07,6.6831627002500857e+00,6.2073974409803012e-01,1.3904621334522487e-02
7.0000000000000007e-02,2.2711954378920951e-05,3.3803200633199560e+15,1.1250225073767065e+11,7.8861814863716988e-07,6.6702822349210047e+00,6.2085869930925131e-01,1.3895722708866074e-02
7.0909090909090922e-02,2.3591125926414971e-05,3.5548431922715345e+15,1.1535900333874100e+11,7.7865476707415793e-07,6.6575677731523095e+00,6.2097601733906982e-01,1.3887009883897067e-02
7.1818181818181823e-02,2.4492593539710530e-05,3.7360150034436975e+15,1.1825107925736751e+11,7.6894165071495177e-07,6.6450150897932385e+00,6.2109174229374620e-01,1.3878477052206899e-02
7.2727272727272724e-02,2.5416633883169460e-05,3.9240014943700160e+15,1.2117847291733014e+11,7.5946946640906194e-07,6.6326201190013130e+00,6.2120591653868051e-01,1.3870118656226721e-02
7.3636363636363639e-02,2.6363523608129163e-05,4.1189707014008075e+15,1.2414117895644801e+11,7.5022933990897006e-07,6.6203789463324725e+00,6.2131858078822078e-01,1.3861929374553668e-02
